,callsign,icao24,last_position,filter,count
40401,WJA2060,c071a4,2022-01-13 17:24:53.700999936+00:00,False,0
40402,WJA2060,c071a4,2022-01-13 17:24:54.731000064+00:00,False,0
40403,WJA2060,c071a4,2022-01-13 17:24:55.809999872+00:00,False,0
40404,WJA2060,c071a4,2022-01-13 17:24:56.800000+00:00,False,0
40405,WJA2060,c071a4,2022-01-13 17:24:57.789999872+00:00,False,0
40406,WJA2060,c071a4,2022-01-13 17:24:58.852000+00:00,False,0
40407,WJA2060,c071a4,2022-01-13 17:24:59.750000128+00:00,False,0
40408,WJA2060,c071a4,2022-01-13 17:25:00.828999936+00:00,False,0
40409,WJA2060,c071a4,2022-01-13 17:25:01.974999808+00:00,False,0
40410,WJA2060,c071a4,2022-01-13 17:25:02.983000064+00:00,False,0
40411,WJA2060,c071a4,2022-01-13 17:25:03.879000064+00:00,False,0
40412,WJA2060,c071a4,2022-01-13 17:25:04.783000064+00:00,False,0
40413,WJA2060,c071a4,2022-01-13 17:25:05.842999808+00:00,False,0
40414,WJA2060,c071a4,2022-01-13 17:25:06.904000+00:00,False,0
40415,WJA2060,c071a4,2022-01-13 17:25:07.540000+00:00,False,0
40416,WJA2060,c071a4,2022-01-13 17:25:08.582000128+00:00,False,0
40417,WJA2060,c071a4,2022-01-13 17:25:09.664999936+00:00,False,0
40418,WJA2060,c071a4,2022-01-13 17:25:10.697999872+00:00,False,0
40419,WJA2060,c071a4,2022-01-13 17:25:11.716000+00:00,False,0
40420,WJA2060,c071a4,2022-01-13 17:25:12.628999936+00:00,False,0
40421,WJA2060,c071a4,2022-01-13 17:25:13.648000+00:00,False,0
40422,WJA2060,c071a4,2022-01-13 17:25:14.688999936+00:00,False,0
40423,WJA2060,c071a4,2022-01-13 17:25:15.858000128+00:00,False,0
40424,WJA2060,c071a4,2022-01-13 17:25:16.918999808+00:00,False,0
40425,WJA2060,c071a4,2022-01-13 17:25:17.856000+00:00,False,0
40426,WJA2060,c071a4,2022-01-13 17:25:18.786000128+00:00,False,0
